Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code,Glycemic Load,Glycemic Index,,diebetes_restriction
Cow Milk Tea With Cinnamon Ginger Without Sugar,1 Large Cup (200 ml),64,2.9,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk Tea With Cinnamon Ginger Without Sugar,1 Medium Cup (150 ml),48,2.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk Tea With Jaggery,1 Large Cup (200 ml),67,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Cow Milk Tea With Jaggery,1 Medium Cup (150 ml),50,2.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Cow Milk Tea Without Sugar,1 Large Cup (200 ml),53,2.7,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk Tea Without Sugar,1 Medium Cup (150 ml),40,2.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk With Honey and Almond,1 Large Glass (200 ml),234,6,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Cow Milk With Stevia,1 Large Glass (220 ml),157,6.3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Skim Milk And Stevia,1 Large Cup (176 ml),47,4.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cucumber Dosa,2 Large (140 gm),220,6.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Dry Fruit Milkshake Without Dates,1 Large Glass (200 ml),266,8.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Elaichi Chai,1 Large Cup (200 ml),75,3.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Elaichi Chai,1 Medium Cup (150 ml),56,2.7,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Ginger Tea With Lemongrass And Honey,1 Large Cup (200 ml),53,0.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Mango Soy Milk Shake,1 Large Glass (200 ml),142,7,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Milk,1 Large Glass (220 ml),160,7.8,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,
Ragi Almond Milk Porridge,1 Large Bowl (194 gm),173,4.9,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Ragi Nutty Milk With Stevia,1 Medium Glass (160 ml),197,5.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Skim Milk Cardamom Tea Without Sugar,1 Medium Cup (150 ml),20,2.3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Skimmed Milk Cardmom Tea With Jaggery,1 Large Cup (176 ml),83,4.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Tea Without Sugar,1 Large Cup (200 ml),53,0.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Tea with Jaggery,1 Small Cup (100 ml),40,0.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Tea,1 Large Cup (200 ml),74,0.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Tea,1 Medium Cup (150 ml),56,0.4,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Akki Roti With Peanut With Less Oil,1 Medium(75 gm),256,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Aloo Gobi Paratha With Oil,1 Large(170 gm),341,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Aloo Matar Poha,1 Large Bowl(120 gm),233,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Aloo Matar Poha,1 Medium Bowl(90 gm),175,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Aloo Paratha Without Oil,1 Large(170 gm),252,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Aloo Paratha Without Oil,1 Medium(110 gm),163,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Ari Semiya Upma,1 Large Bowl(120 gm),196,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Besan Cheela,2 Number(100 gm),240,12,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Besan Cheela,2 Number(100 gm),299,15,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Besan Moong Cheela,2 Number(100 gm),229,13,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Bread Upma With Vegetable,1 Large Bowl(60 gm),305,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Bread Upma With Vegetable,1 Medium Bowl(90 gm),229,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Brown Bread Paneer Toasted Sandwich,"1 Bread (3"")(100 gm)",318,10,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Aloo Sandwich,"1 Bread (3"")(129 gm)",212,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Butter Toast,"1 Bread (4"")(37 gm)",138,2,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Cabbage Paneer Grilled Sandwich,"1 Bread (3"")(113 gm)",286.92,12,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Cabbage Paneer Grilled Sandwich,"1 Bread (4"")(170 gm)",429,18,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Cucumber Sandwich,1 Medium Bowl(103 gm),241,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Brown Wheat Bread Spinach Corn Sandwich,"1 Bread (5.5"")(182 gm)",334,12,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Bun Pav With Butter,1 Number(56 gm),191,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Butter Dosa,2 Number(130 gm),232,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Cabbage Onion Dosa,1 Medium(90 gm),166,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Corn Oats Idli,3 Number(150 gm),280,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Cucumber Dosa,2 Medium(180 gm),283,9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Cucumber Dosa,2 Small(240 gm),377,11,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Cucumber Rava Dosa,2 Number(130 gm),186,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Dahi Idli,1 Large Bowl(155 gm),263,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Dahi Idli,1 Medium Bowl(145 gm),196,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Green Mango Coconut Chutney,1 Small Bowl(84 gm),85,3,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Idiyappam,3 Number(215 gm),281,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Idli Upma,1 Large Bowl(120 gm),216,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Idli,3 Medium(90 gm),177,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Kanda Poha,1 Large Bowl(120 gm),193,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Methi Dhokla,4 Number(160 gm),245,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Methi Dhokla,5 Number(200 gm),306,10,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Mixed Dal Chila,2 Number(100 gm),205,9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Mixed Vegetable Paratha With Less Oil,2 Large(180 gm),402,12,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Oats Broken Wheat Nutty Cow Milk Porridge Without Sugar,1 Large Bowl(194 ml),193,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Oats Porridge In Water With Honey,1 Medium Bowl(146 gm),139,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Palak Carrot Onion Dosa,2 Large(240 gm),321,10,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Palak Carrot Onion Dosa,2 Medium(200 gm),267,9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Parathe Ka Churma,1 Large Bowl(189 gm),381,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Peanut Poha,1 Large Bowl(120 gm),271,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Peanut Poha,1 Medium Bowl(90 gm),203,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Peas Poha,1 Large Bowl(120 gm),235,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Peas Poha,1 Medium Bowl(90 gm),176,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Poha Rava Idli,3 Small(165 gm),474,12,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Puttu,2 Large(120 gm),190,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Puttu,2 Large(120 gm),196,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Ragi Jaggery Porridge With Almond Without Milk,1 Medium Bowl(146 gm),138,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Ragi Masala Dosa With Less Oil,1 Number(84 gm),155,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Ragi Vegetable Porridge,1 Medium Bowl(146 gm),112,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Rava Idli,1 Large(45 gm),120,3,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Rava Idli,2 Medium(60 gm),181,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Rava Uttapam,2 Number(216 gm),216,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Red Rice Idli,2 Number(80 gm),139,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,1
Rice Dhokla with Tadka,4 Number(140 gm),274,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Rice Dhokla,5 Number(175 gm),275,9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Rice Flakes Upma,1 Large Bowl(120 gm),219,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Rice Flour Vegetable Uttapam,2 Small(308 gm),493,13,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,2
Rumali Roti With Oil,1 Number(73 gm),216,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Sattu Paratha Without Oil,2 Large(180 gm),428,10,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Sattu Paratha Without Oil,2 Medium(130 gm),309,8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Sweet Dalia Porridge In Milk,1 Large Bowl(194 gm),173,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Sweet Dalia Porridge In Milk,1 Medium Bowl(146 gm),129,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Thalipeeth With Less Oil,2 Medium(130 gm),341,10,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Tomato Besan Cheela,2 Number(100 gm),197,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Utappam,1 Number(120 gm),206,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vagharela Dhokla,1 Medium Bowl(90 gm),192,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,
Vegetable Dosa,2 Number(161 gm),216,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vegetable Paneer Chila,2 Number(100 gm),224,9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vegetable Peanut Poha,1 Large Bowl(120 gm),255,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vegetable Peanut Poha,1 Large Bowl(120 gm),256,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vegetable Peanut Poha,1 Medium Bowl(90 gm),191,5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Veggie Oats Poha,1 Large Bowl(120 gm),265,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Vermicelli Upma With Oil,1 Large Bowl(120 gm),241,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Wheat Vermicelli Coconut Upma,1 Large Bowl(120 gm),223,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Whole Wheat Bread Vegetable Paneer Sandwich,"1 Bread (5.5"")(212 gm)",464,15,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A,,,,0
Black Rajma Soaked Overnight Boiled,1 Large Bowl (99 gm),275,18,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Chholar Dal Narkel Kismis Diye With Ghee,1 Medium Bowl (139 gm),123,4.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Coconut Coriander Chutney,1 Small Bowl (84 gm),130,1.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Coconut Coriander Chutney,2 Tbsp (25 gm),39,0.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Coriander Chutney,2 Tbsp (26 gm),28,1,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Curd With Salt,1 Medium Bowl (139 gm),96,5.1,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dhania Adrak Chutney,1 Small Bowl (100 gm),67,2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dhania Adrak Chutney,2 Tbsp (25 gm),20,0.6,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dhania Chutney,1 Small Bowl (84 gm),89,1.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dhania Chutney,2 Tbsp (25 gm),27,0.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dill Hummus,1 Small Bowl (98 gm),197,4.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Dried Dates,2 Number (7 gm),45,0.4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Egg Bhurji With Vegetables,1 Large Bowl (160 gm),238,14,Non_Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Garlic Chutney,1 Small Bowl (84 gm),217,4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Chutney,1 Small Bowl (100 gm),24,1,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Chutney,1 Small Bowl (84 gm),20,0.8,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Chutney,2 Tbsp (25 gm),6,0.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Mango Coconut Chutney,1 Small Bowl (84 gm),85,1.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Mango Coconut Chutney,2 Tbsp (30 gm),25,0.4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Green Tomato Chutney,2 Tbsp (25 gm),22,0.6,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Gun Powder,1 Tbsp (13 gm),43,2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Gun Powder,2 Tsp (8 gm),29,1.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Khejur Amsotto Tomato Chatni,2 Tbsp (25 gm),42,0.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Mango Chunda,2 Tbsp (29 gm),54,0.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Mint Chutney,1 Small Bowl (84 gm),54,1.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Nariyal Chutney,1 Small Bowl (84 gm),157,2.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Peanut Tomato Chutney,1 Medium Bowl (125 gm),168,6,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Peanut Tomato Chutney,1 Small Bowl (84 gm),111,4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Peanut Tomato Chutney,2 Tbsp (25 gm),34,1.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Pistachios,1 Small Bowl (61 gm),428,15,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Pistachios,1 Tbsp (8 gm),56,2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Pudina Chutney,1 Small Bowl (84 gm),54,1.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Pudina Chutney,2 Tbsp (25 gm),16,0.6,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Raw Mango Coconut Chutney,1 Medium Bowl (125 gm),113,2.8,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Shendana Chutney,2 Tsp (10 gm),24,1,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Tamarind Chutney,1 Medium Bowl (125 gm),276,2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Tamarind Chutney,1 Small Bowl (84 gm),183,1.4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Tamarind Chutney,2 Tbsp (25 gm),55,0.5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Tomato Chutney,1 Small Bowl (84 gm),52,1.2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Tomato Chutney,2 Tbsp (25 gm),16,0.4,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Walnut,1 Small Bowl (30 gm),209,5,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Walnut,2 Number (10 gm),70,2,Veg,A3,Side Dishes and Spreads,Breakfast,A,,,,0
Apple Banana Milkshake in Cows Milk With Honey,1 Medium Glass(160 ml),141,4.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Apple Banana Smoothie With Almond Milk And Sugar,1 Large Bowl(160 gm),84,1.2,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Apple Dry Fruits Smoothie,1 Large Bowl(160 gm),187,4.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,2
Apple Smoothie Without Sugar,1 Large Bowl(160 gm),99,0.9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Apple Spinach Smoothie With Honey,1 Large Bowl(160 gm),134,2.1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Apple,1 Medium(147 gm),92,0.3,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Chana Chor With Corn,1 Large Bowl(76 gm),240,7.2,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Chickoo,1 Large(116 gm),85,0.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Dal Soup,1 Medium Soup Bowl(192 gm),143,8.1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Dry Fruit Smoothie Without Sugar,1 Large Bowl(160 gm),224,5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Elaichi Banana,1 Number(40 gm),43,0.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Fruit Bowl,1 Large Bowl(120 gm),67,0.9,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Grapes,1 Large Bowl(136 gm),73,0.7,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Grapes,1 Small Bowl(60 gm),36,0.3,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Hapus Aam,1 Large Bowl(152 gm),73,0.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Hapus Aam,1 Large(300 gm),145,1.2,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Hapus Aam,1 Medium(200 gm),97,0.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Mango Almond Milk Smoothie,1 Large Bowl(160 gm),61,1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Mango Milkshake,1 Medium Glass(200 ml),128,3.2,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,3
Masala Mathri,1 Medium(15 gm),76,1.1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,2
Mava Nuts Chikki,2 Number(20 gm),88,1.3,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,1
Mixed Fruit Smoothie,1 Large Bowl(160 gm),121,2.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,1
Muskmelon,1 Large Bowl(120 gm),28,0.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,2
Orange,1 Number(104 gm),39,0.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Papaya,1 Large Bowl(120 gm),29,0.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Pear,1 Large(200 gm),75,0.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Pear,1 Medium(150 gm),56,0.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Pineapple Chunks,1 Medium Bowl(93 gm),40,0.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,0
Pistachios,1 Tbsp(8 gm),56,2,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Rawa Alsi Ladoo,1 Medium(25 gm),148,1.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Roasted Moong Dal,1 Medium Bowl(30 gm),132,9.1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Roasted Moong Dal,1 Medium Bowl(30 gm),99,9.1,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Spicy Masala Khakara,1 Number(8 gm),33,0.6,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Sweet Corn Avocado Soup,1 Medium Soup Bowl(194 gm),176,5.4,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Vegetable Clear Soup,1 Large Soup Bowl(226 gm),42,1.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Walnut,2 Number(10 gm),70,1.5,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Whole Wheat Crackers,1 Number(20 gm),66,1.8,Veg,B1,"snacks, soups, fruits, and smoothies",Mid Morning,B,,,,
Almonds,6 Number(6 gm),37,1.3,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Apple,1 Medium(147 gm),92,0.3,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Cashew,6 Number(8 gm),45,1.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Dates,2 Number(20 gm),62,0.6,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
